@relation bla
@attribute senti {-1,0,1}
@attribute text string
@data
'0','Also, I think it would be really fun if you incorporate a doodling function in Evernote.'
'1','Also, I would love to pay a flat fee to be able to access my notes offline.'
'-1',"also, it'll be cool to add videos!"
'-1','Also, navigating thru app is now cumbersome and not as simple and elegant as before.'
'-1','Also, still not able to rename files -- unbelievable!!'
'-1','Also, the button for it is right under the pause button, which made me use it even more, I am now out of uses simply because they put it in a lousy location.'
'-1','Also, the delete function is confusing and should have some sort of dialog box informing you that you are about to delete a photo on your ipad, not just in dropbox interface, and ask you to confirm that you want to do this.'
'-1','Also, there is no logic behind the new tag section.'
'-1','Also, using the same view in landscape mode is really ugly and wastes screen real estate.'
'0','Also, when reviewing I can rate different categories on the iPhone instead of just an overall rating on the iPad.'
'1','Although it does take quite a while to load it seems.'
'-1','Although this is just a personal opinion, I feel that the layout is slightly inconvenient and confusing.'
'1','Always find fun things to do and good food.'
'1','Always full of things that are interesting to me without chasing me or interrupting my enjoyment with endless advertising.'
'1','Always works as promised and delivers useful info and travel tips!'
'1','Amazing I love that I can even upload my own personal photos and have them as a pin!'
'1','Amazing ;-) Amazing app ... the best way to stay in touch with ur frnd.. sharw images ... videos .'
'1','Amazing app it is very healfull and very freindly to use'
'-1','An average app It\'s good.. but when it comes to "updating", it\'s pathetic!!'
'0','An Evernote system of tags and saved searches would enable us to keep all photos/video in one place and still sort them when needed.'
'1','An example is that I was trying to find info on a brew pub near our motel.'
'1','An extra I really like are the street maps and metro guides.'
'1','And for collaborating with others by using shared files and folders.'
'1','And great that it has desktop integration for a computer.'
'1','And help me with ideas for parties and all kinds of gathering and celebrations.'
'1',"And I have done a good amount of googling around to know that I'm not the only one around wanting better text capabilities."
'-1',"And I have to load it because its the ONLY way I can use it on my phones browser which isn't the mobile site anymore."
'0','And just a user friendlier way to change settings and customize/add pictures to your boards.'
'-1','And now it says trouble reaching evernote server.'
'-1',"And now we also can't see our notes on the map filtered by tag."
'-1','And now, it takes 15 minutes to login when I open the app.'
'0','And photos of where you are considering to stay.'
'0','And please, add the ability to tag photos and video.'
'0','And subcategories.'
'-1','And that would NOT be version 5.2.1.'
'-1',"And the new power of the red bird, directional targeting, kinda goes against the appeal of the original game -- you fire a bird and can't change it's direction."
'1','And the voice recognition is great!'
'-1',"And then I couldn't open all my notes."
'-1','And then I logged into my account through the website and no notes are there either...'
'1','And they even have an app that loads to your phone and no data is required (as long as you load the city before you use it)'
'-1','And when you email or cut&paste into something else - it is a nightmare.'
'1','And you can even try to find the hidden items too.'
'1','Another update!'
'-1',"Any way the other one was better and you took away everyone's favorite levels!also same thing as #5"
'-1','Anyhow, I miss Catch and some others.'
'-1','Anyone can c my profile pic Its dangerous.'
'-1','App crash Keeps crashing when you click on to the attach option'
'-1',"App should be much much better, can't go 1/2 of what you can online, can't post pictures,can't see my profile or past reviews, can't even give detailed ratings, needs to be much improved"
'-1','app used to work wonderful except recent update.. unable to open most of our PDF files .. DROPBOX help!!!'
'1','April I really luv diz app...great effects on ur pic....'
'-1','As a result, failures are frustrating because the controls fight my attempts at precision, and successes are unsatisfying because it feels like I just caught a lucky break.'
'0','As a result, synching between devices is not always reliable right now - just a watch-out.'
'0','As soon as I get to the level selection the app crashes.'
'-1','As soon as i updated to version 2.1.'
'-1','As soon as this was updated it will no longer give me accurate search results!'
'-1','Asking for unnecessary permissions Also I do not want the app to run at startup!'
'-1',"At first when I got this it was cool, but then when I changed my mined about having my camera uploads in my Dropbox it says that I don't have any photos in my library when I clearly have photos in my library....please fix!!"
'-1',"At the moment, you can't copy/paste text, many users (myself included) have reported a typing bug where the cursor jumps when you try to type, rendering the note taking part useless."
'1','At times even faster than ordinary sms.'
'-1','At times frustrating to try to navigate to check rates.'
'-1','Avoided updating the latest version becos during the last update, all the info which were not synchronized and backed up were swiped off!!'
'1','Awesm Most famous pics editor evr'
'1','Awesome Best photo editior i ever use'
'0','awesome bt plz increase the size videos that we send'
'1','AWESOME Great editing photo apk'
'1','Awesome I love pinterest.. its a place where I can keep all the things I like and are interested in, in one place'
'1','Awesome pics art is my only app for editing'
'1','Awesome Picsart Is The Best Editing Photo App'
'1','Awesome The updates Are Awesome!'
'1','Awesome This app is grt, to explore ur  creativity.'
'0','Awesome app but... Add the option of controlling the quality of pictures loaded do that less data usage is incurred.'
'1','Awesome app, allows you to easily create and share notes, pictures, diagrams and ideas between devices in a highly organized fashion.'
'1','Awesome Application Wonderful place to share products, art, makeup, home furnishings, helpful tips, how to do, and recipes galore!'
'-1','Awesome updates!!!'
'0','awful app...I uploaded HUNDREDS of photos but app could not upload them all..lost hundreds of precious memories of concerts, times with friends, etc.'
'1','Awsme app I juz love dis app its so easy nd free'
'0','Awsome but cant do the powerpoint stuff i want to, not the apps fault though'
'-1','Back button needs work as well.'
'-1','Background gps keeps active and is draining my battery'
'-1','Bad No password for content filter.'
'-1','Bad job on the new level'
'-1','Bad results in the search'
'1','Be it reading reviews or writing reviews myself!'
'0','Beautiful app, but NEEDS the ability share folders.'
'-1','Because I am used to writing large amounts of text per note, it makes it extremely difficult to get the entirety of each note to load, and then to enter type mode.'
'-1','Become very unstable and unsupported to my device Now a days it gives a big problem for my HTC desire V device  whenever someone or group chat text message me in marathi language or used in more smily in that  message that time whatsapp is directly closed and suddenly come back to the home screen and never open it....'
'0','Been trying to download a 1gb file for over 2 days now.'
'1','Being able to add voice memos, pictures and tags to notes is very helpful.'
'1','Best app Can always edit my pics and they will end up well'
'1',"Best app so far I love that u can edit and make it ur own that's cool"
'1','Best app to share thoughts, ideas and different things and feelings..'
'1','best cloud service ever.'
'0','Best cloud sharing service, but app for iPhone stop working as it will not open on iPhone 5, keep asking to connect iTune for alert & notification...'
'1','Best gr8 Like it nice good job plz add more frame for free pack'
'1','Best info on hotels hands down!'
'1','Best information.'
'1','Best photo editer out there!'
'1','Best pic edit app Great app.'
'1','Best to use most recent reviews and look at overall score rather than relying on only one very bad or very good review.'
'1','Best way I know to keep all my important files in one place so I can access them from anywhere on any device!'
'-1',"Better Em having Samsung galaxy s 4 ad I am facing problem when I updated what's app.plz fix it"
'-1','Better keep animation simple but optimize scrolling.'
'1','Better than normal texting.'
'0','Better yet an option to hide all the icons would improve display a lot'
'1','Between my Mac, iPhone and work with IE and desktop app, it easy to save from the web and edit notes as needed.'
'-1','Both the application and the browser version on my iPad 2 are crashing, burning, and totally failing.'
'1',"Brilliant It's a great  way to keep in contact with people you know :)"
'-1','Brilliant app but crashes on iPad and iPhone.'
'-1','Bring back the old format please!'
'-1','Btw the solution to that 1 (after I tried reinstalling and rebooting) is to log in using user name instead of email (or vice versa.'
'1','Btw, I use the skitch add-on for editing,reformatting, *bold* print, etc.'
'-1','Buggy, slow and insecure.'
'-1','But after recent updates I have issues uploading things.'
'-1','But after the newest update that removed the white dotted path that shows where your bird is aimed at and the strength you are using on the sling shot, its very difficult to play and not that fun.'
'0','But for me, the heart of the app is the near me now section.'
'-1','But for some reason dropbox has not allowed favorited downloads the ability to resume  and instead restarts the download from the beginning every time it fails.'
'-1','But I cant even access to my account because the app crashes in iphone size every time i open it.'
'-1',"but i don't understand why we can't add a website even though it's an option."
'-1',"But I have noticed that you can't share folders, only a single file, which is pretty ridiculous because then I could just email that single file to someone, but when you have a whole bunch of pictures that you want to send, you can't send the whole folder of pictures."
'-1','But I have to rate it 4 stars because you made the menu worse looking.'
'-1',"But I mostly use Dropbox for music and it gets kind of annoying that the music doesn't go in a playlist like in the music app."
'0','But I wish saved items could be viewed offline!'
'-1','But in game ADs are really annoying.'
'-1','But in my mobile, after downloading the app, it works six months after that again it shows date failure and it will not work... Again I have to download...'
'-1','But iOS 5 is required to use it.'
'0','But it does allow me to take a pic, and record voice, so that helps.'
'-1','But it has becum too slow since d last update..!!'
'1','But it has gud to connect wid ur frnds.'
'-1','But it loses 2 stars just because I have to download one photo at a time.'
'1','But it works on all computers, including Mac.'
'-1','But now it crashes if you select "Created" or "Title" for the viewing mode.'
'-1','But shortly after having it I got several errors about inability to sync.'
'-1','But sometimes the customised jpeg file customised is not recognised by the library/album.'
'-1','But the design of this app is terrible.'
'-1',"But the developers keep shoving the new shock bird in your face to keep buying whenever you're stuck."
'-1','But the fact that I cannot add recent photos from my album!?!?!!?'
'-1','But the latest level just takes this game to a new level of low.'
'-1','But the performance is no smooth at all.'
'-1','But this new level is along the lines of Bad Piggies.'
'-1','But very discouraged when I go to do a something that I get advertisements for a ton of other stuff.'
'-1','But why does location need to be enabled?'
'1',"But wish it didn't steal all of your data."
'-1','BUT WISH THERE WAS A PASSCODE TO OPEN THE APP!'
'-1',"But with this new upgrade requiring iOS 7 (which I don't have), and many apps supporting other cloud storage providers, I find I may have to switch to Box, SugarSync, Mega, Mozy, or any of the other cloud storage sites who aren't forcing me to upgrade to iOS 7."
'0',"But, one thing that's still missing is bulk downloads."
'-1','But, overall an excellent app still.'
'-1','But, when I searched by name, there was the pub and reviews.'
'0','By far an overall awesome app but it needs an update'
'1',"By the way if you are complaining because of the logo for Roviow on the Angry Birds App then stop its just saying who it's made by( just a picture!"
'-1','Can no longer add files directly from phone.'
'0','Can u plz make It connect to Facebook angry birds "friends" to compete in the tournament every week'
'0','Can we get push notifications for other things being shared, besides just folders.'
'0','Can you please integrate a spam filter feature so I can select and identify senders from which I no longer wish to receive emails.'
'1',"Can't do w/o it."
'-1',"Can't even aim the birds, can't see the whole screen."
'-1',"Can't install on IOS 6 devices."
'-1',"Can't install the update."
'-1',"Can't open files, files won't update."
'-1',"Can't play because it crashes constantly!"
'-1',"Can't read your own contributions or see badges."
'-1',"Can't see the names of many boards - there needs to be a wrapped text function on board names so long board names can be seen."
'-1',"Can't upload."
'-1',"Can't use due to pop-up about push notifications."
'-1',"Can't use on 4s with iOS 7."
'0',"Can't vote reviews helpful."
'-1','Cannot download latest update, it was working fine for a year and then the updates started.'
'-1','Cannot open any saved files.'
'-1','Cannot trust using it on iPhone (only desktop and iPad).'
'-1','Cant log in Cant seem to log in using my google account.'
'0','Cant think of any specific complaints, but there is always room for a more robust interface'
'-1','Caught in a loop forever after trying to load a video and also forever looping in the initial how to adobe file.'
'1','Challenging levels great game play!!!'
'-1','Change my screen name.'
'0','change text color, etc.'
'1','Chat & calling will be easier using this app.'
'0','Check out the forums to interact with others making your same trip!'
'1',"Chill out, you just got the game for free and you're arguing about this pointless stuff."
'1','Collecting your favorite things is fun to do as well as trying to express your likes and interests to others.'
'0','Colors!'
'-1','come on update it and do better'
'-1',"Come on) and pop-ups (buy some IAPs already you walking wallets, or better yet, sign up for something you don't have any reason to."
'0','comic book reader would be nice... is store all of my cbr and cbz files on dropbox so i can read them anywhere'
'-1','Completely unusable.'
'1','Conditions of the facility/restaurant, cost, service provided by the staff, and more, are at your fingertips.'
'-1','Constant crashes in iOS 7; 8 crashes in 30 minutes.'
'-1','Constant issue with confirming email address Got bored went back to Tumblr'
'-1','Constant pop ups trying to sell "super birds" that don\'t really do much take away the pleasure of the game.'
'0','Continuous improvement keeps this complete cross-platform system well ahead and above the alternatives.'
'1','Cool Good place to go if you need an idea for almost anything'
'1','Cool It made my pinning more interesting.'
'1','Cool :) even I have a low class phone, I can still edit pictures through the help of picsart.'
'1','Cool app Awsome app works fantastic just love it !!!'
'1','Cool app to photo edit.....'
'1','coooooll epic msnger'
'-1','Could care less about location pinning.'
'0','Could pin but not see my own boards to retrieve the pins!'
'0',"Couple these features with the ability to share a folder of PDFs with other Dropbox users and you've converted me, and countless others, to PDF viewing through Dropbox."
'-1','Crash!'
'-1','Crashes & hangs.'
'-1','Crashes every single time I open the update episode.'
'-1','Crashes every time I open a level...'
'-1','Crashes every time I try to play it!!'
'1','Cross.'
'0','Currently have to re-login to get files to update.'
'-1','Currently, you have to leave the folder and come back in if you wish to refresh that folder.'
'0','Dam, people are arguing that the game is freezing all the time and the app logo is "ugly".'
'0','Dear designers: Would love to see the functionality of the media player upgraded to allow play of songs one after another (without individually selecting them).'
'1','Definitely useful.'
'1','Design meshes perfectly with iOS 7  Great job on this update :)'
'-1','Developers dropped the ball on this update.'
'-1',"Didn't receive notification until open up the app."
'-1',"Disappointed to see there's still no text editor after all this time."
'0','Do all your fans a favor - fire all your current programmers, offer the 2011 version as an update, and then call it a day.'
'-1','Do not like this new version.'
'-1','DO NOT load the Dec 12 update!'
'0','Do wish it allowed all functions to exist in an Apple environment since I am cross-bred with my devices.'
'0','Does almost everything except allowing me to make a quick diagram by hand.'
'-1','Does anyone else have their Dropbox app, not the site, increasing in memory even without any favorite files???.'
'1','Does everything the website but smoother, quicker and with more clarity.'
'0','Does not show you anything about your account such as your contributions or anything related to your reviews.'
'-1',"Doesn't seem to involve or build skills, except speed tapping."
'0',"Doesn't Support IOS6"
'-1','Doesn\xef\xbf\xbdt work AT ALL.'
'-1',"Don't like new levels but still okay game."
'-1','Don\'t Updated to iOS7 cause I noticed the paragraph section is missing the ability to create "Section, subsection, paragraph and blockquote" as I was able to in the previous version.'
'1','Done Best Photoshop I have ever used'
'-1',"Downloaded it to find that it doesn't even open."
'-1',"Downloaded the latest update and now my app has disappeared, and the App Store won't let me download it again."
'-1','Dropbox could be better with faster uploading and downloading speeds also you should add the options to sync multiple photos from your phone to your camera roll instead of just one at a time!!'
'-1','Dropbox does not install on the iPhone.'
'-1','Dropbox is a great program and tool, but with the last update which included a new PDF reader, I cannot open a PDF in full screen view, only thumbnail.'
'1','Dropbox is amazing and perfect for storage and safety I love it!'
'-1','Dropbox no longer accepts files from my iPad since latest IOS update.'
'-1','Dropbox support has been unhelpful.'
'0',"Dropbox, we're supposed to upload our photos and video, but where will it all go?"
'1','Easiest way to keep in touch with my close and dear.'
'1','Easy & successful use.'
'1','Easy a d accessible.'
'1','Easy camera function allows for adding recipes right to notebook.'
'1','Easy quick games to keep you busy.'
'1','Easy setup.'
'1','Easy to access on any device or on their website.'
'1','Easy to find venues.'
'1','Easy to Pin from Mobile.'
'1','Easy to search for information when I need it'
'1','Easy to share information with staff with a few key strokes.'
'0','Easy to use Screen shots can be a little small'
'1','Easy to use - almost effortless.'
'0','Easy to use and easy to be directed.'
'1','Easy to use and fun!'
'1',"Easy to use and love how there's no Internet trolls on here."
'1','Easy to use and super quick.'
'1','Easy to use and very accurate.'
'1','Easy to use and very useful.'
'1','Easy to use for quick, concise note-taking.'
'1','Easy to use with  good content.'
'1','Easy to use with folders & tags.'
'0','Easy to use, but I wish you could sort hotels by distance from a location/address.'
'1','Easy to use, good link with the website, easy to find recommendations quickly all over the world (thanks to all the other users out there!!'
'1','Easy to use, info is accurate and everything you need to know as a traveler or tourist!'
'0','Easy to use.'
'1','Easy use'
'1','Eazy to excess Great way to communute.'
'1','Edit photos Love it!!'
'0','Edit simple text files including adding new files.'
'1','Editing ability and consistency on iPhone has improved with recent updates.'
'-1','Editing and the dashboard in the app could use an easier interface.'
'-1','editing any of that becomes problematic.'
'0','Editing pics Superb ty'
'-1','Effect Please fix some of your effect such as fattal because its become a different quality of picture when I want to save it.'
'-1','Eh It stops suddenly, kicks me out.'
'-1','Enjoy but to many ads'
'-1','Epic Its really good but when using 3g costs lods'
'-1','Error messages when simply trying to move files.'
'-1','Error report Not ok'
'-1','Even after the latest update.'
'-1','Even the messenges that are being send gets shuffled.'
'1',"Even though I'm only on the 5th episode I can tell Red's Mighty Feather's is gonna be AWESOME!!"
'-1','even with the latest glitches, evernote is  still one of the only apps on my phone i use daily.'
'0','Ever since I downloaded the latest update the app on my iPad continues to show a pop up alert message.'
'-1','Ever since iOS 7 update, Dropbox has not worked; constantly crashes, when it does run it is EXTREMELY slow, and there are problems with camera uploading.'
'0','Ever since the update to the new PDF viewer (March 2013?'
'-1','Ever spent an hour trying to find a user name that would be accepted?'
'1',"Evernote has allowed me to organize all the notes and journal summaries for my MBA thesis seamlessly and everything is accessible whether I'm at home, work, or mobile."
'1','Evernote is a great way to store pictures & notes online, to your computer to your cellphone, I always found myself using it to store notes I would lose.'
'1','Evernote is an excellent service, and this is an awesome app!'
'1','Evernote is my go to for everything - whether lists, meeting notes, just things to remember etc.'
'0','EverNote is no longer for taking text notes.'
'1','Evernote is wonderful for organizing my notes!'
'-1','Evernote seems to build "islands of stuff" - text, pictures, URLs, etc.'
'1','Every other app has the ability to go either direction.'
'0','Every single time i try to play it, it crashes'
'-1','Every time I go to open it or play a level the audio trips and then dark screen, home screen.'
'-1','Every time I log on to my TripAdvisor account through Facebook on my iPod Touch, it crashes.'
'-1',"Every time I try to get on the new story, the screen goes black and the I'm back on my home screen!"
'-1',"Every time I try to open it, it crashes and I can't even play!"
'-1','Every time I try to open one of my audio files the app just shuts down.'
'-1','Every time I upload pictures it starts to say " conntect to iTunes " and it keeps poppin up after I click ok ..'
'1','Everything is easier to find, looks prettier, and is easy to access.'
'1','Everything is easy to search and it has always worked flawlessly.'
'-1','Everything was great before the update, now nothing works.'
'1','Excelente informacion, me encantan las fotos de los turistas.'
'1','Excellent A complete package in all for the artist in everyone'
'1','Excellent Beautiful sharing of beautiful pictures, ideas ideas!'
'0','Excellent But need to add some more features......'
'1','Excellent app Performs many tasks!'
'1','EXCELLENT APP Simple and good app'
'-1','Excellent app The first versions of this were a little slow but now the app is great.'
'1',"Excellent communication app It is quite nice and enjoyable and time passing too...   Communication is very easy through this and is best communication app ever....  Keep it up WHAT'S APP...!!!"
'1','Excellent for keeping visual ideas I really use this to keep recipes,  and fashion ideas, but overall great app.'
'1','Excellent messenger The best in the market'
'1','Excellent notification alert I jst wish dat whatsapp had its own alert ringtone bt its nthng important bcz it fulfils its role of bein a communicational avenue'
'1','Excellent way that connects to our family, friends, relatives and strangers too... :));))'
'1','Excellent... Its nice.. easy to use...'
'1','Exellent Nice t use and its very easy'
'0','Export to phone  You can upload but cant download files to your phone  Update from today  ........................'
'-1',"Failed to upgrade I couldn't upgrade to the new version, had to delete the app, now I can't install it again.."
'1','Fantastic resources!'
'0',"Fare Still having problems, I got foreclosed on like 20 times last night and still aren't able to change my password or access my boards, it's as if my Pinterest has been compromised!"
'1','Fast route to information, culture and lots of fun!'
'0','Favorites can only be done on iPhone app.'
'1','Favourite hands down for photo editing ?'
'-1','Fck Fix this cause always error'
'-1',"Feb 7,14: Can't view the photos  anymore (if there's no HTTP link)."
'0','Feedback is provided by actual travelers so you are provided with honest results.'
'1','Feels more fluid, controls are intuitive and exactly where I expect them to be.'
'1','Finally we can share links to folders!'
'1','Finally, if you have a large file to send someone, you can just put it into your Dropbox and easily send that person a link to view and download your file!'
'0','Finally, it would be nice if tag searching worked like it does on the web version of Evernote, evaluating the entire tag.'
'-1',"Finally, when I'm using this while traveling, I really don't want to use international roaming to upload a review, but remind me later waits about 5 minutes and them pesters me again, so a star off for that."
'-1','First time I tried to use it, it locked up.'
'-1','First, they ruined the icon.'
'0','Fix crashing issues on iPod touch 4'
'-1','fix it -_- wont let meh open it'
'-1','Flat out will not open on a new iPad Air'
'1',"Flight tickets are the best price i've seen, so far but I do wish they would drop a bit here & then ."
'0',"For example the spell check doesn't work just right and the search is slow at times."
'0','For me, it way more easier to store files in the storage area of my online email provider - GMX.'
'0','For people on the go, we need to be able to email links out to people, sending tons of individual links to people is not feasible.'
'-1',"For the longest time I couldn't find a single sync button anywhere."
'-1','Forgot info link will not send anything to my email so I lost everything I did and no way to contact devs'
'1','Found this app to very useful for finding restaurants and lodging while traveling and at home.'
'1','Found tripadvisor when planning a trip with my boo and it helped us a great deal.'
'-1','Frequently crashes and does not allow local storage of personal notes, which are automatically stored on painfully slow Evernote servers.'
'1','From baby feeding and diaper changes to shopping lists and research papers - our family shares everything.'
'1','Full original game for free??'
'-1','Full stars if completely downloaded Not downloading properly although full netwrk excess'
'1','Fun and creative Easy to use,fun, makes any picture cute and creative'
'1','FUN making collages!'
'1','Fun really like the new levels'
'-1','FURTHER UPDATE--version 2.1.1 brought back dropbox to my phone.'
'-1','Furthermore, too much key info is buried.'
'1','galaxy ace love this app'
'1','galaxy pocket excellent application allover'
'1','Galaxy tab 3 Love pinterest, app works well, have it both on phone and tab'
'-1','Game crashes.'
'-1','Game was fun till the ads I was planning on buying their other games but not so sure now'
'1','Ganesh lg p350 Great app'
'-1','Get rid of everything after Bad Piggies.'
'1','Get to share some really cool pictures, ideas, jokes and recipes.'
'0',"Gives you just the right amount of information you'd need when planning a trip."
'0','Gone are the excellent filters for refining your search.'
'-1','Gone is the ability to pan the map and have your search applied to a new area.'
'0','Good Can you please add some more frames,which takes a lot of pictures....please.'
'1','Good Easy to use'
'-1','Good Everyone realy want the "hide last seen" option on android .'
'1','Good Good And easy for editing photo'
'1','Good I like this app lets u do fun stuff with ur pics'
'0','Good Need facility to attach documents as well'
'1','Good Nice'
'1','Good Nice edithing photo'
'1','Good Nice photo editor'
'0','Good Pls add more feature allow me to send pdf file to frnds'
'0','Good Really help full....but if u make it free for lifetime...we will use it life long'
'1','Good This makes beautiful pics'
'0','Good V.nice  .fast'
'-1','good app consumes more amount of phone  memory'
'1','Good app Is a good app to text on'
'1','GooD App Very user friendly'
'-1','Good app for noting but too expensive to use it for poor students ... 60mb is not enough...could you make it more plz ?'
'0','Good as an editor,but a little slow Yeah!'
'1','Good but Good concept.'
'0','Good but notes are not available offline unless you favorite them which you cannot do on an ipad.'
'0','Good feature I like this apps, but we need voice call also.'
'1','Good for quick word processing and keeping track of all kinds of stuff.'
'1','Good game without the usual gun or blood violence.'
'1','Good notes app, nicely organized and clean to edit and read.'
'1','Good product'
'1','Good reviews'
'1','Good reviews by serious travelers.'
'-1','good software but low processing'
'0','Good.... Should add more graphics'
'1','Goodul Work fast'
'0','Goood No payment please'
'1','Got it free with appgratis!'
'1','Got this app for the reviews section.'
'1','Great Awesome'
'1','Great Great free app.'
'1','Great Its great for texting with mates or friends always aware of the gossip its like a bbm put for android the thing is when I text and send I always make a mistake and wish I could take it back'
'0','great needs more features and hope u will advance to videos'
'1','Great This so is awesome, great app that lets you share ideas and things you like.'
'1','Great and resourceful app - plus fun to plan ahead or dream a little ....'
'1','Great app Awesum app easy 2 use'
'1','Great app best photo editor out there'
'1','Great app Best picture editor'
'-1','Great app But when I update it , its force close'
'-1','Great app Occasionally freezes or has errors loading & pinning.'
'1','Great app - beautiful layout.'
'0','Great app but I wish it could sort and/or rate based on which meal you would like for restaurants.'
'1','Great app can have good editing ***Great app & gud editor!!!'
'-1','Great app for business purposes.'
'1','Great app for planning'
'0','Great app for searching, I just wish reviewing my reviews was as seamless as the website.'
'0','Great app I love the new design but with the new update when you try to share a link to a specific file that has a space in the file name I have to manually replace the spaces with %20 so it will hyperlink correctly.'
'0','Great app that I have used regularly but seems a bit jerky since the iOS 7 update and update of app itself.'
'1','Great app that is very user friendly.'
'1','Great app to edit photos Loads of features to edit photos that too free.'
'1','Great app to write my reviews on!'
'1','Great app with great information'
'1','Great app with valuable information'
'1','Great app, Great contents!!!'
'1','Great effects and powers.'
'1','Great for finding hotels, restaurants.'
'1','Great for finding local gems in restaurants and decent hotels.'
'1',"Great for on the road reviews and info while traveling, love to use while out of town or at the house to get info on places to eat, go check out, or if you're planning a trip."
'0','Great for slow note takers I use it for all my classes wish there was a bullet option'
'1','Great for tagging and clipping important websites and urls.'
'1','Great for taking personal notes.'
